College Division,School,Region,2020 Conference Team Place,2021 Conference Team Place,2022 Conference Team Place,2023 Conference Team Place,2024 Conference Team Place,2025 Conference Team Place
NAIA,Central Baptist College - Mens,American Midwest Conference/Sooner Athletic Conference,,,,,,
NAIA,Central Christian College - Mens,American Midwest Conference/Sooner Athletic Conference,8,,,,,
NAIA,Hannibal-LaGrange University (MO) - Mens,American Midwest Conference/Sooner Athletic Conference,,,,,,
NAIA,Oklahoma City University - Mens,American Midwest Conference/Sooner Athletic Conference,3,1,1,1,1,1
NAIA,Texas Wesleyan University - Mens,American Midwest Conference/Sooner Athletic Conference,2,2,2,2,4,3
NAIA,Wayland Baptist University - Mens,American Midwest Conference/Sooner Athletic Conference,,,,,,
NAIA,Williams Baptist College - Mens,American Midwest Conference/Sooner Athletic Conference,,1,,,,4
NAIA,Brewton-Parker College - Mens,Appalachian Athletic Conference,,,,,,
NAIA,Keiser University - Mens,Appalachian Athletic Conference,,,,,,4
NAIA,Life University - Mens,Appalachian Athletic Conference,,,,,,1
NAIA,Montreat College - Mens,Appalachian Athletic Conference,,,,,,8
NAIA,Reinhardt University - Mens,Appalachian Athletic Conference,,,,,,
NAIA,Southeastern University - Mens,Appalachian Athletic Conference,,,,,,2
NAIA,St. Thomas University - Mens,Appalachian Athletic Conference,,,,,,5
NAIA,Truett McConnell University - Mens,Appalachian Athletic Conference,,,,,,
NAIA,University of Pikeville - Mens,Appalachian Athletic Conference,,,,,,10
NAIA,WVU Institute of Technology - Mens,Appalachian Athletic Conference,,,,,,
NAIA,Arizona Christian University - Mens,Cascade Collegiate Conference,,11,9,9,7,4
NAIA,Corban University - Mens,Cascade Collegiate Conference,,,,,,6
NAIA,Eastern Oregon University - Mens,Cascade Collegiate Conference,,1,2,5,6,
NAIA,Embry-Riddle Aeronautical University- Mens,Cascade Collegiate Conference,,,,,,
NAIA,Evergreen State College - Mens,Cascade Collegiate Conference,,,,,,10
NAIA,Hope International University - Mens,Cascade Collegiate Conference,,,,,,
NAIA,Montana State University- Northern- Mens,Cascade Collegiate Conference,,,,,,
NAIA,Simpson University (Calif.) - Mens,Cascade Collegiate Conference,,,,,,
NAIA,Southern Oregon University - Mens,Cascade Collegiate Conference,,8,5,4,3,1
NAIA,University of Providence - Mens,Cascade Collegiate Conference,,,,,,
NAIA,Westcliff University - Mens,Cascade Collegiate Conference,,,,,,9
NAIA,Briar Cliff University - Mens,Great Plains Athletic Conference,,,,,,
NAIA,Concordia University (Neb.) - Men's,Great Plains Athletic Conference,,,,,,
NAIA,Dakota Wesleyan University - Mens,Great Plains Athletic Conference,,,,,,
NAIA,Doane University - Mens,Great Plains Athletic Conference,,1,,,,1
NAIA,Hastings College - Mens,Great Plains Athletic Conference,,,,,,
NAIA,Midland University - Mens,Great Plains Athletic Conference,,,,,,
NAIA,Morningside University - Mens,Great Plains Athletic Conference,,,,,,
NAIA,Northwestern College (Iowa) - Mens,Great Plains Athletic Conference,,,,,,
NAIA,Waldorf University - Mens,Great Plains Athletic Conference,,,,,,
NAIA,Baker University - Mens,Heart of America Conference,,,,,,
NAIA,Benedictine College - Mens,Heart of America Athletic Conference,,,,,,
NAIA,Bismarck State College - Mens,Heart of America Athletic Conference,,,,,,
NAIA,Central Methodist University - Mens,Heart of America Athletic Conference,,,,,,2
NAIA,Dickinson State University - Mens,Heart of America Athletic Conference,,,,,,
NAIA,Graceland University - Mens,Heart of America Athletic Conference,,,,,,7
NAIA,Grand View University - Mens,Heart of America Athletic Conference,,,,,,
NAIA,Missouri Baptist University - Mens,Heart of America Athletic Conference,3,3,3,3,2,3
NAIA,Missouri Valley College,Heart of America Athletic Conference,2,3,2,2,2,2
NAIA,St. Ambrose University - Mens,Heart of America Athletic Conference,,,,9,,7
NAIA,William Penn University - Mens,Heart of America Athletic Conference,,,,,,
NAIA,William Woods University - Mens,Heart of America Athletic Conference,,,,,,6
NAIA,Avila University - Mens,Kansas Collegiate Athletic Conference,,,,,,2
NAIA,Bethany College (Kan.) - Mens,Kansas Collegiate Athletic Conference,,,,,,
